epoch,stage,train_loss,train_acc,train_f1_macro,train_f1_weighted,val_loss,val_acc,val_f1_macro,val_f1_weighted,val_f1_neutral,val_selection_score,phobert_lr,trainable_params
1,frozen,0.25587715645575654,0.5862068965517241,0.4097168489535898,0.5788184606948634,0.2315560135245323,0.8003790271636134,0.5458923767366898,0.7818097099261284,0.0,0.5458923767366898,0.0,350851
2,partial,0.20734008793932432,0.7766497461928934,0.5296623710419525,0.7609716487028545,0.1457989412546158,0.8761844598862919,0.6148874598882519,0.8582159664914388,0.05128205128205128,0.6148874598882519,1e-05,28702339
3,partial,0.12385669745525668,0.8720462103973394,0.6840553346528853,0.8699962493432237,0.10541514383628964,0.9077700568540745,0.7668511322085035,0.9068081722926161,0.44285714285714284,0.7668511322085035,1e-05,28702339
4,full,0.09527789801229104,0.8977769998249606,0.7516350545948857,0.9017101744476177,0.09310443080496043,0.9279848389134555,0.8081248055334459,0.9270614951758537,0.5323741007194245,0.8081248055334459,2e-05,135349123
5,full,0.07384154233982651,0.924295466479958,0.8025970827450591,0.9274139082095684,0.0789080403605476,0.934301958307012,0.8262990324356844,0.9356222731993934,0.5732484076433121,0.8262990324356844,2e-05,135349123
6,full,0.05139464280222069,0.9481883423770349,0.8675212692425177,0.9495932123797177,0.07993134646909311,0.9254579911560329,0.8132786762503743,0.9282759698594512,0.5476190476190477,0.8132786762503743,2e-05,135349123
7,full,0.03289898864563305,0.9678802730614389,0.9150304260425823,0.9683036341121631,0.12692345804651267,0.9437776373973468,0.8536019555580836,0.9428280660330968,0.6470588235294118,0.8536019555580836,2e-05,135349123
8,full,0.02267281428030198,0.9761946437948539,0.9442778039013516,0.9763742938210381,0.1451242112496402,0.9437776373973468,0.8467968084900567,0.9422178197505354,0.6259541984732825,0.8467968084900567,2e-05,135349123
9,full,0.015919237653123263,0.9817959040784177,0.9585132491020175,0.9819114226511132,0.15661594191100447,0.9437776373973468,0.8441570299213307,0.9423959250160512,0.6165413533834586,0.8441570299213307,2e-05,135349123
10,full,0.011339412845232832,0.9867845265184667,0.9716801339985107,0.9867989719659073,0.16884273221250623,0.9431459254579911,0.8491085448446388,0.942472887005719,0.6330935251798561,0.8491085448446388,2e-05,135349123
