Split,Best_Epoch,Best_Stage,Selection_Metric,Selection_Score,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,F1_Weighted,F1_Negative,F1_Neutral,F1_Positive
Validation,7,full,f1_macro,0.8536019555580836,0.9437776373973468,0.8683844113206994,0.8412668240833435,0.8536019555580836,0.9428280660330968,0.9530483531885073,0.6470588235294118,0.9606986899563319
Test,7,full,f1_macro,0.8536019555580836,0.9317751105495894,0.8493376937953124,0.8123015170118628,0.8281559451948569,0.9298391607694401,0.9481017067223964,0.5866666666666667,0.9496994621955077
