topic_id,topic_name,samples,accuracy,f1_macro,f1_weighted,f1_negative,f1_neutral,f1_positive
0,Giang vien,2290,0.9480349344978166,0.8292194267802947,0.9461173922450914,0.9465744814582024,0.576,0.9650837988826816
1,Chuong trinh dao tao,572,0.8933566433566433,0.7646977050874187,0.8899728585306528,0.9471153846153846,0.5121951219512195,0.8347826086956521
2,Co so vat chat,145,0.9862068965517241,0.8321212121212122,0.9861943573667712,0.9963636363636363,0.6666666666666666,0.8333333333333334
3,Khac,159,0.7861635220125787,0.7774351971006119,0.785660370751554,0.8307692307692308,0.6896551724137931,0.8118811881188119
