Model,Test Accuracy,Test F1 (weighted)
PhoBERT Only,0.9286165508528111,0.9266069383722311
TF-IDF Only,0.8496525584333544,0.8500188407833514
Hybrid (PhoBERT + TF-IDF),0.930511686670878,0.9295651154065993
