Model,Test Accuracy,Test F1,Type
XGBoost + SMOTE,0.9327226784586229,0.9318983765454374,Improved
LR (C=0.1) + SMOTE,0.9311433986102338,0.9302124472346815,Improved
Original Hybrid (C=1.0),0.9308275426405559,0.9298283507382439,Original
Late Fusion + SMOTE,0.9301958307012003,0.9286230789005525,Improved
PhoBERT Only,0.9283006948831333,0.9261898613581364,Baseline
