epoch,stage,train_loss,train_acc,train_f1_macro,val_loss,val_acc,val_f1_macro,phobert_lr,trainable_params
1,frozen,0.6645981492175089,0.8667950288814983,0.6462940680417885,0.7055964762288512,0.8938723941882502,0.6558556153027653,0.0,1562115
2,partial,0.5512428660492797,0.8958515666024855,0.7155305594789795,0.5717687612455903,0.9115603284902085,0.7705947078543388,1e-05,29913603
3,partial,0.46960849033186697,0.9154559775949589,0.7696176882266372,0.4522569517727302,0.9102969046114971,0.7828058113257317,1e-05,29913603
4,full,0.44613144736105276,0.9218449151058988,0.7883919626364647,0.4186360920271413,0.9330385344283006,0.8406824916703391,2e-05,136560387
5,full,0.32774911429724896,0.9479257833012428,0.8566297284837567,0.5487082027024683,0.9418825015792799,0.8541918056777877,2e-05,136560387
6,full,0.2137988637243821,0.9676177139856468,0.9155083842193422,0.6213100151093606,0.9450410612760581,0.8607099523347045,2e-05,136560387
