Split,Best_Epoch,Best_Stage,Accuracy,F1_Macro,F1_Weighted,F1_Negative,F1_Neutral,F1_Positive
Validation,6,full,0.9450410612760581,0.8607099523347045,0.9446133275442242,0.9529163738580464,0.6666666666666666,0.9625468164794008
Test,6,full,0.9273531269740998,0.818314963831216,0.9258509942103698,0.9437412095639943,0.5631067961165048,0.9480968858131488
