Split,Selected_Features,Alpha,C,Class_Weight,Late_Fusion_Weight_PhoBERT,Accuracy,F1_Macro,Precision_Macro,Recall_Macro,F1_Negative,F1_Neutral,F1_Positive
Train,hybrid_alpha_0.5,0.5,0.1,,,0.9960616138631192,0.9928889275775991,0.9958844326571512,0.9899610965884219,0.996813495782568,0.9856670341786108,0.9961862527716187
Val,hybrid_alpha_0.5,0.5,0.1,,,0.9463044851547694,0.8598443709375014,0.875067107400619,0.8470752701538503,0.9557273366127899,0.6617647058823529,0.9620410703173615
Test,hybrid_alpha_0.5,0.5,0.1,,,0.9283006948831333,0.8194448224507456,0.8313139217632634,0.80948375220848,0.9460697920338386,0.5641025641025641,0.9481621112158342
