Split,Best_Epoch,Best_Stage,Selection_Metric,Selection_Score,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,F1_Weighted,F1_Negative,F1_Neutral,F1_Positive
Validation,8,full,f1_macro,0.8538115881862431,0.9456727732154138,0.8879078268155863,0.8296415240492895,0.8538115881862431,0.943777185832664,0.953257790368272,0.6456692913385826,0.9625076828518746
Test,8,full,f1_macro,0.8538115881862431,0.9327226784586229,0.8697579600671604,0.7946628420961596,0.8225827915004085,0.9291263086458614,0.9498941425546931,0.5693430656934306,0.9485111662531017
