Split,Best_Epoch,Best_Stage,Accuracy,F1_Macro,F1_Weighted,F1_Negative,F1_Neutral,F1_Positive
Validation,5,full,0.9368288060644346,0.84680790873568,0.9386801790323182,0.9491525423728814,0.6341463414634146,0.957124842370744
Test,5,full,0.915982312065698,0.813362574408024,0.9184905861289122,0.936290038718761,0.5638297872340425,0.9399678972712681
