epoch,stage,train_loss,train_acc,train_f1_macro,val_loss,val_acc,val_f1_macro,val_f1_neutral,phobert_lr,trainable_params
1,frozen,1.0596584028371885,0.5065639768948014,0.4004409188614854,0.8838774365186691,0.7927984838913456,0.578040544007799,0.11235955056179775,0.0,218627
2,partial,0.8060616297262341,0.7591458078067566,0.5873050979848086,0.6107822705805301,0.8913455464308275,0.7323323878817775,0.36764705882352944,1e-05,28570115
3,partial,0.5577572769584269,0.8470155785051636,0.6970584038510484,0.4773648154735565,0.8818698673404928,0.75814151191137,0.4434782608695652,1e-05,28570115
4,full,0.46579922731528733,0.8821109749693681,0.74740701891147,0.6530781431309879,0.9349336702463676,0.8164265138529236,0.546875,2e-05,135216899
5,full,0.36797141090201935,0.9282338526168388,0.8213768848185974,0.47512004474177955,0.9368288060644346,0.84680790873568,0.6341463414634146,2e-05,135216899
6,full,0.2455392852503619,0.9520392088219849,0.8824853909305513,0.584922880968079,0.9355653821857233,0.8387755812680385,0.6114649681528662,2e-05,135216899
7,full,0.1975996627188782,0.9644670050761421,0.9142032285738174,0.6666939067933708,0.9387239418825016,0.8432465506832294,0.6216216216216216,2e-05,135216899
8,full,0.14197362483838083,0.9737440924207946,0.9398440618656418,0.7589947562292219,0.9425142135186355,0.8443104908329812,0.6187050359712231,2e-05,135216899
