neutral_bias,accuracy,f1_macro,f1_weighted,f1_neutral,precision_neutral,recall_neutral
-0.25,0.9450410612760581,0.851984436123891,0.9432509897333978,0.640625,0.7454545454545455,0.5616438356164384
-0.2,0.9437776373973468,0.8482093160288899,0.9421419986739655,0.6307692307692307,0.7192982456140351,0.5616438356164384
-0.15,0.9444093493367025,0.8536683694837701,0.9431464267066844,0.6466165413533834,0.7166666666666667,0.589041095890411
-0.1,0.9444093493367025,0.8536683694837701,0.9431464267066844,0.6466165413533834,0.7166666666666667,0.589041095890411
-0.05,0.9444093493367025,0.8536683694837701,0.9431464267066844,0.6466165413533834,0.7166666666666667,0.589041095890411
-0.0,0.9444093493367025,0.8536683694837701,0.9431464267066844,0.6466165413533834,0.7166666666666667,0.589041095890411
0.05,0.9444093493367025,0.8536683694837701,0.9431464267066844,0.6466165413533834,0.7166666666666667,0.589041095890411
0.1,0.9444093493367025,0.8536683694837701,0.9431464267066844,0.6466165413533834,0.7166666666666667,0.589041095890411
0.15,0.9444093493367025,0.8536683694837701,0.9431464267066844,0.6466165413533834,0.7166666666666667,0.589041095890411
0.2,0.9450410612760581,0.8572586687364909,0.9439110261605315,0.6567164179104478,0.7213114754098361,0.6027397260273972
0.25,0.9450410612760581,0.855836099429878,0.9439902159769702,0.6518518518518519,0.7096774193548387,0.6027397260273972
0.3,0.9450410612760581,0.855836099429878,0.9439902159769702,0.6518518518518519,0.7096774193548387,0.6027397260273972
0.35,0.9450410612760581,0.855836099429878,0.9439902159769702,0.6518518518518519,0.7096774193548387,0.6027397260273972
0.4,0.9456727732154138,0.8593395839658582,0.9447512431431516,0.6617647058823529,0.7142857142857143,0.6164383561643836
0.45,0.9456727732154138,0.8593395839658582,0.9447512431431516,0.6617647058823529,0.7142857142857143,0.6164383561643836
0.5,0.9456727732154138,0.8593395839658582,0.9447512431431516,0.6617647058823529,0.7142857142857143,0.6164383561643836
0.55,0.9456727732154138,0.8593395839658582,0.9447512431431516,0.6617647058823529,0.7142857142857143,0.6164383561643836
0.6,0.9450410612760581,0.8574836254273568,0.9442000492435254,0.656934306569343,0.703125,0.6164383561643836
0.65,0.9456727732154138,0.8609271929259789,0.9449531306825216,0.6666666666666666,0.7076923076923077,0.6301369863013698
0.7,0.9450410612760581,0.8590822997472868,0.9444030523420407,0.6618705035971223,0.696969696969697,0.6301369863013698
0.75,0.9450410612760581,0.8590822997472868,0.9444030523420407,0.6618705035971223,0.696969696969697,0.6301369863013698
0.8,0.9450410612760581,0.8590822997472868,0.9444030523420407,0.6618705035971223,0.696969696969697,0.6301369863013698
0.85,0.9450410612760581,0.8563765418417107,0.9445739902052102,0.6524822695035462,0.6764705882352942,0.6301369863013698
0.9,0.9450410612760581,0.8563765418417107,0.9445739902052102,0.6524822695035462,0.6764705882352942,0.6301369863013698
0.95,0.9450410612760581,0.8563765418417107,0.9445739902052102,0.6524822695035462,0.6764705882352942,0.6301369863013698
1.0,0.9450410612760581,0.8563765418417107,0.9445739902052102,0.6524822695035462,0.6764705882352942,0.6301369863013698
