Split,Variant,Best_Epoch,Best_Stage,Selection_Metric,Selection_Score,Neutral_Bias,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,F1_Weighted,F1_Negative,F1_Neutral,F1_Positive
Validation,bias_tuned,7,full,f1_macro,0.8536683694837701,0.65,0.9456727732154138,0.8728004558118693,0.8505783845943262,0.8609271929259789,0.9449531306825216,0.952783650458069,0.6666666666666666,0.9633312616532007
Test,bias_tuned,7,full,f1_macro,0.8536683694837701,0.65,0.9260897030953885,0.8251073249467581,0.8078546621867121,0.8158653178355694,0.924992831961587,0.9425044091710758,0.5569620253164557,0.9481295190191764
