Split,Variant,Neutral_Bias,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,F1_Weighted,F1_Negative,F1_Neutral,F1_Positive
Validation,raw,0.0,0.9444093493367025,0.8741814523293621,0.8373525676961107,0.8536683694837701,0.9431464267066844,0.9528501055594651,0.6466165413533834,0.9615384615384616
Validation,bias_tuned,0.65,0.9456727732154138,0.8728004558118693,0.8505783845943262,0.8609271929259789,0.9449531306825216,0.952783650458069,0.6666666666666666,0.9633312616532007
Test,raw,0.0,0.9267214150347441,0.829594876984693,0.7977442787069379,0.8115867017539483,0.9246901945781656,0.9444444444444444,0.543046357615894,0.9472693032015066
Test,bias_tuned,0.65,0.9260897030953885,0.8251073249467581,0.8078546621867121,0.8158653178355694,0.924992831961587,0.9425044091710758,0.5569620253164557,0.9481295190191764
