epoch,stage,train_loss,train_acc,train_f1_macro,val_loss,val_acc,val_f1_macro,val_f1_neutral,phobert_lr,trainable_params
1,frozen,0.5277925186119713,0.4118676702258008,0.3331913050700815,0.764680429088949,0.6456096020214782,0.5632142285422072,0.21621621621621623,0.0,1546499
2,partial,0.1819064310582524,0.7973919131804657,0.7961225715503201,0.5171853686410068,0.8566013897662665,0.7305346083228178,0.391304347826087,1e-05,29897987
3,partial,0.06791946224711992,0.9324347978295117,0.9322185281256755,0.7107189431494911,0.9128237523689198,0.7972017741955559,0.519774011299435,1e-05,29897987
4,full,0.04287882039268091,0.9534395238928759,0.9531898367549102,0.8469841939942779,0.9248262792166771,0.8122401583728581,0.5454545454545454,2e-05,136544771
5,full,0.027130643928780097,0.9714685804305969,0.971403823147068,1.0105402806392787,0.9298799747315224,0.8117294691474303,0.5413533834586466,2e-05,136544771
6,full,0.015263132843428284,0.9837213373008927,0.9836110458768458,0.9952507757092591,0.9374605180037903,0.8341039177023397,0.5957446808510638,2e-05,136544771
7,full,0.011150323786309568,0.9880098022054963,0.9879290918388616,1.0934968344941312,0.9399873657612129,0.8311508934727114,0.582089552238806,2e-05,136544771
8,full,0.010367997683229746,0.9885349203570803,0.9884733113201213,1.110686731600024,0.9418825015792799,0.8362165455300038,0.5954198473282443,2e-05,136544771
