epoch,stage,train_loss,train_acc,train_f1_macro,val_loss,val_acc,val_f1_macro,val_f1_neutral,phobert_lr,trainable_params,gate_phobert,gate_tfidf,gate_swn
1,frozen,0.893214594109075,0.6949938736215648,0.5248267551249232,0.6669147093639229,0.8932406822488945,0.7026138045691118,0.2828282828282828,0.0,2614662,0.5441789627075195,0.31398168206214905,0.141839399933815
2,partial,0.5428452829380969,0.8968142832137231,0.738334725382679,0.7525778770484407,0.9153506001263424,0.7342726728873895,0.3368421052631579,1e-05,30966150,0.5633832216262817,0.3513641357421875,0.08525265008211136
3,partial,0.404899161938135,0.9307719236828287,0.8181731213071157,0.8098664159082215,0.9248262792166771,0.7976477314154956,0.5132743362831859,1e-05,30966150,0.597038984298706,0.3457232117652893,0.05723780021071434
4,full,0.302747315368322,0.9519516891300542,0.8745669616881879,0.7375586578796496,0.9222994314592545,0.8031208671201163,0.5285714285714286,2e-05,137612934,0.4503716826438904,0.49461063742637634,0.05501769110560417
5,full,0.22656093910971487,0.9691055487484684,0.9222316652862815,0.9891368529701727,0.9254579911560329,0.8099521740822763,0.5483870967741935,2e-05,137612934,0.5370569229125977,0.42852678894996643,0.034416358917951584
6,full,0.14021579741119322,0.9796079117801505,0.948438964587305,1.0146282748078146,0.9260897030953885,0.8111855151726809,0.5481481481481482,2e-05,137612934,0.5049351453781128,0.46480152010917664,0.030263345688581467
7,full,0.06903749893332337,0.9891475582005951,0.9735364301549622,1.0816968450495605,0.9311433986102338,0.8208138712140368,0.5692307692307692,2e-05,137612934,0.5335888266563416,0.4419202506542206,0.024490881711244583
8,full,0.050034706453447576,0.9921232277262384,0.9788248982299718,1.0566118311706103,0.9317751105495894,0.8225370945322523,0.5736434108527132,2e-05,137612934,0.5556470155715942,0.4177376329898834,0.026615271344780922
