Split,Best_Epoch,Best_Stage,Accuracy,F1_Macro,F1_Weighted,F1_Negative,F1_Neutral,F1_Positive
Validation,8,full,0.9317751105495894,0.8225370945322523,0.9297709217441792,0.946927374301676,0.5736434108527132,0.9470404984423676
Test,8,full,0.9188250157927985,0.7872414695471776,0.9137837962099886,0.9366827253957329,0.4866920152091255,0.9383496680366741
