topic_id,topic_name,samples,accuracy,f1_macro,f1_weighted
0,Giang vien,2290,0.9502183406113537,0.8163659202797225,0.9469294835453017
1,Chuong trinh dao tao,572,0.8881118881118881,0.760810081608401,0.8844635804099136
2,Co so vat chat,145,0.9724137931034482,0.5689954814042405,0.969407788285211
3,Khac,159,0.8050314465408805,0.7894211882120441,0.8003167485103398
