Split,Selected_Feature_Set,C,Class_Weight,Accuracy,F1_Macro,F1_Weighted,Precision_Macro,Recall_Macro,F1_Negative,F1_Neutral,F1_Positive
Train,PhoBERT + TF-IDF + SentiWordNet,0.1,,0.9961491335550499,0.9926190492235575,0.9961444686671811,0.9952713030993653,0.9900201668229308,0.9970003749531309,0.9845814977973568,0.9962752749201844
Val,PhoBERT + TF-IDF + SentiWordNet,0.1,,0.9450410612760581,0.8604162113171476,0.9440380243742467,0.8777050906083165,0.846129643676309,0.9549295774647887,0.6666666666666666,0.9596523898199876
Test,PhoBERT + TF-IDF + SentiWordNet,0.1,,0.9276689829437776,0.8171090573127581,0.9263177141461324,0.8288471177944863,0.8072511698217983,0.9463655610444601,0.5576923076923077,0.9472693032015066
