epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.7619385816281734,0.733765097146858,0.5483142646567581,0.42709561705589294,0.9102969046114971,0.7948964392096114
2,0.3610706434964967,0.9193943637318397,0.7929827724983172,0.3675280828773975,0.9311433986102338,0.8135327838873071
3,0.2753160844697466,0.947050586381936,0.8610493814443548,0.3625908329337835,0.936197094125079,0.839050872659911
4,0.2215158460068636,0.9579905478732715,0.8891864729662696,0.42957457169890406,0.9431459254579911,0.8455710275665265
5,0.17809979442257287,0.96674251706634,0.9138235266671634,0.4173413424193859,0.9437776373973468,0.848323493605038
