Split,Best_Epoch,Best_Stage,Accuracy,F1_Macro,F1_Weighted,F1_Negative,F1_Neutral,F1_Positive
Validation,6,full,0.9431459254579911,0.8436731083670672,0.9417841608091425,0.9531795946890287,0.6165413533834586,0.9612983770287141
Test,6,full,0.9346178142766899,0.8349466906566073,0.9328696286630582,0.9484029484029484,0.6026490066225165,0.9537881169443572
