topic_id,topic_name,samples,accuracy,f1_macro,f1_weighted,f1_negative,f1_neutral,f1_positive
0,Giang vien,2290,0.9519650655021834,0.8392009631514217,0.9503571646537297,0.950778816199377,0.5984251968503937,0.9683988764044944
1,Chuong trinh dao tao,572,0.8898601398601399,0.7499329188642369,0.8851217064264001,0.9451073985680191,0.4691358024691358,0.8355555555555556
2,Co so vat chat,145,0.9862068965517241,0.8210188527878058,0.9850699199136894,0.9963898916967509,0.6666666666666666,0.8
3,Khac,159,0.7987421383647799,0.7929368527375171,0.7995354485669788,0.8372093023255814,0.7252747252747253,0.8163265306122449
