epoch,stage,train_loss,train_acc,train_f1_macro,val_loss,val_acc,val_f1_macro,val_f1_neutral,phobert_lr,trainable_params
1,frozen,1.0570470375197751,0.5824435497987047,0.4451176705311089,0.8810130478155733,0.8123815540113708,0.6464803565919511,0.28,0.0,530179
2,partial,0.7858132266393908,0.7941536845790302,0.6305817224229245,0.9052955935793844,0.9090334807327859,0.700297654987151,0.24444444444444444,1e-05,28881667
3,partial,0.5731681345082767,0.884649046035358,0.729383319340127,0.7468952513793765,0.9229311433986103,0.7587521474178945,0.39603960396039606,1e-05,28881667
4,full,0.469488978318844,0.9147558200595134,0.7898920646128945,0.6169602527904013,0.9380922299431459,0.8280609732072498,0.578125,2e-05,135528451
5,full,0.4289926937335151,0.9388237353404516,0.8373395296192498,0.5185327373346258,0.9279848389134555,0.8237404237548475,0.5730337078651685,2e-05,135528451
6,full,0.3013418416007441,0.9579030281813408,0.8883222569710312,0.9148348519246969,0.9399873657612129,0.8325982651071167,0.5901639344262295,2e-05,135528451
7,full,0.2138746209177221,0.9723437773499037,0.9332880678209344,0.9436800898296166,0.9387239418825016,0.8360134359896157,0.6015037593984962,2e-05,135528451
8,full,0.1397259891664095,0.9817959040784177,0.9577213014350962,0.9529561634037897,0.9437776373973468,0.8541115851191812,0.647887323943662,2e-05,135528451
9,full,0.0895076635550509,0.9865219674426746,0.9711358114473975,1.0450395565665789,0.9387239418825016,0.842121914956663,0.6197183098591549,2e-05,135528451
10,full,0.07227687591123493,0.9893225975844565,0.9795715677436448,1.1249020062986705,0.9399873657612129,0.8406237518563815,0.6131386861313869,2e-05,135528451
