epoch,stage,train_loss,train_acc,train_f1_macro,val_loss,val_acc,val_f1_macro,val_f1_neutral,phobert_lr,trainable_params
1,frozen,1.0952588153285021,0.5270435848065815,0.40571688622802765,0.9263118660449982,0.7283638660770688,0.5718273375059235,0.2206896551724138,0.0,351235
2,partial,0.8617900098002823,0.699369858218099,0.5603933584771671,0.6908619828522206,0.8736576121288693,0.7163141363177341,0.35064935064935066,1e-05,28702723
3,partial,0.5920345391245694,0.8361631367057588,0.6851107470368992,0.5594049668684602,0.9046114971572963,0.789010153544266,0.5149700598802395,1e-05,28702723
4,full,0.49234030329148865,0.8844740066514966,0.7466374145448577,0.6220934668742121,0.9330385344283006,0.8196328207310214,0.5606060606060606,2e-05,135349507
5,full,0.3736406476679128,0.9242079467880273,0.8115281212758272,0.5514888799190522,0.9418825015792799,0.8548893170815571,0.6530612244897959,2e-05,135349507
6,full,0.29168094113578386,0.9469630666900053,0.8671727502094888,0.7943772692233324,0.9399873657612129,0.8412138511002403,0.6178861788617886,2e-05,135349507
7,full,0.22689143612111956,0.9633292490810432,0.9088701248007623,0.6907795834355056,0.9355653821857233,0.843412050789497,0.6257668711656442,2e-05,135349507
8,full,0.13858550418540316,0.9745317696481708,0.9417576395638565,0.9600733949220739,0.9374605180037903,0.8365335851423824,0.60431654676259,2e-05,135349507
