Split,Best_Epoch,Best_Stage,Accuracy,F1_Macro,F1_Weighted,F1_Negative,F1_Neutral,F1_Positive
Validation,5,full,0.9418825015792799,0.8548893170815571,0.9419907310819468,0.9534555712270804,0.6530612244897959,0.9581511555277952
Test,5,full,0.9235628553379659,0.8233951858524439,0.9234310661540605,0.9391608391608391,0.5861027190332326,0.9449219993632602
