epoch,stage,train_loss,train_acc,train_f1_macro,val_loss,val_acc,val_f1_macro,phobert_lr,trainable_params
1,frozen,1.0929887018837294,0.4460003500787677,0.3266406976314283,1.080025689770477,0.6272899557801642,0.42695198632027526,0.0,1694211
2,partial,0.9954517445364198,0.6824785576754769,0.4640016407506519,0.7070021605250811,0.899557801642451,0.6135790854456328,1e-05,30045699
3,partial,0.6078234592674079,0.88491160511115,0.6890373871525991,0.49118887949170487,0.9058749210360075,0.7743222723994413,1e-05,30045699
4,full,0.502172236045549,0.9030281813408017,0.761999230958298,0.6210715353789956,0.9292482627921668,0.808862903748475,2e-05,136692483
5,full,0.423086068729082,0.936198144582531,0.8330384010306139,0.6608858792901491,0.9412507896399241,0.8411887455214213,2e-05,136692483
6,full,0.30707558959501086,0.9579905478732715,0.8878874211971772,0.691285922220259,0.9431459254579911,0.8436731083670672,2e-05,136692483
7,full,0.22131846951828762,0.9725188167337651,0.9303341404608721,0.86957847742091,0.9380922299431459,0.831232549450458,2e-05,136692483
8,full,0.1457916147638946,0.9803955890075267,0.9532519861950526,0.9104196227054497,0.9399873657612129,0.8394741855150212,2e-05,136692483
