topic_id,topic_name,samples,accuracy,f1_macro,f1_weighted,f1_negative,f1_neutral,f1_positive
0,Giang vien,2290,0.9449781659388646,0.8149443289246903,0.9427892229795596,0.946329426280074,0.5365853658536586,0.9619181946403385
1,Chuong trinh dao tao,572,0.9055944055944056,0.7782967738174905,0.8992239504557533,0.9527186761229315,0.5263157894736842,0.8558558558558559
2,Co so vat chat,145,0.9793103448275862,0.8095327219414811,0.9804978476511323,0.9927007299270073,0.6666666666666666,0.7692307692307693
3,Khac,159,0.7987421383647799,0.785243741765481,0.7949884405995973,0.8405797101449275,0.6666666666666666,0.8484848484848485
