Model,Test Accuracy,Test F1,Type
XGBoost + SMOTE,0.932406822488945,0.9315676684141759,Improved
Original Hybrid (C=1.0),0.930511686670878,0.9295651154065993,Original
LR (C=0.1) + SMOTE,0.930511686670878,0.9294627462404237,Improved
Late Fusion + SMOTE,0.930511686670878,0.9290937037418983,Improved
PhoBERT Only,0.9286165508528111,0.9266069383722311,Baseline
