Split,Best_Epoch,Best_Stage,Accuracy,F1_Macro,F1_Weighted,F1_Negative,F1_Neutral,F1_Positive
Validation,8,full,0.9437776373973468,0.8541115851191812,0.943358805410317,0.9508896797153025,0.647887323943662,0.9635577516985794
Test,8,full,0.9311433986102338,0.8334644226743725,0.9298885896001091,0.946918418240114,0.6045016077170418,0.9489732420659615
